"ID","Attending","Graduate_On","Plan_attend","Completed","Completed_On","Graduated","Graduation_Date","ID_PK","Study","Grad_Date_Change","Completed_Date_Change","Graduation_Date_Change","Degree_Recieved"
"10741","NRHEG","05/27/13 00:00:00","Harvard ","Yale","06/09/69 00:00:00","Jolie Hair and Beauty academy","06/09/69 00:00:00","6132","animal bountyhunter/ maid  ",,,,"ALL OF THEM"
"10734","NRHEG high school","05/28/13 00:00:00","Southwest community college",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6133","philosophy",,"Year-Only","Year-Only",
"10745","NRHEG","05/25/13 00:00:00","Alexandria Tec.","NRHEG","05/25/13 00:00:00","NRHEG","05/25/13 00:00:00","6134","Business degree",,,,"BA"
"10749","NRHEG High School","05/30/13 00:00:00","RCTC","NRHEG High School","05/30/12 00:00:00","NRHEG High School","05/30/12 00:00:00","6135","Orthodontic Assistant",,,,"AA"
"10748",,"01/01/12 00:00:00",,,"01/01/12 00:00:00","Winona State University  ","05/12/12 00:00:00","6136",,"Year-Only","Year-Only",,"SOCIAL WORK"
"10751",,"01/01/12 00:00:00",,,"01/01/12 00:00:00","Clemson","04/29/12 00:00:00","6137",,"Year-Only","Year-Only",,"BA"
"10750","NRHEG High School","05/30/13 00:00:00","St. Thomas University","St. Thomas","05/26/11 00:00:00",,"01/01/12 00:00:00","6138","Elementary Education",,,"Year-Only","MASTERS"
"10753","FRanklin High School","06/11/14 00:00:00","N/a",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6139",,,"Year-Only","Year-Only",
"10759","New bedford high","06/14/14 00:00:00","University of Rhode Island","Normandin Middle School","06/23/10 00:00:00","Normandin Middle School","06/23/12 00:00:00","6140","Business Administration",,,,
"10757","New Bedford High School","06/20/14 00:00:00","Ohio State",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6141","Nursing",,"Year-Only","Year-Only",
"10756","New Bedford High School ","01/01/14 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","6142",,"Year-Only","Year-Only","Year-Only",
"10758","New Bedford High School","06/01/13 00:00:00","Umass Dartmouth",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6143","medical courses","Month-Only","Year-Only","Year-Only",
"10764","New Bedford High School","01/01/14 00:00:00","University of Hawaii",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6144","Marine Biology","Year-Only","Year-Only","Year-Only",
"10755","New Bedford High","06/20/14 00:00:00","UMass Dartmouth",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6145","Oncology",,"Year-Only","Year-Only",
"10761","New Bedford High School","06/20/13 00:00:00","University Of Texas","Network For Teaching entrprenurship","05/01/12 00:00:00",,"06/21/12 00:00:00","6146","Business",,"Month-Only",,"1 YAER CERTIFICATE IN ENTREPRENURSHIP"
